21876 60076
67 4780 29
67 7146 35
68 8756 27
68 5462 51
68 8755 19
69 7152 25
69 7146 6
70 11402 5
70 11453 5
70 9499 14
71 9498 8
71 10604 8
71 9497 11
72 12273 6
72 7604 47
72 127 62
72 21219 6
73 7604 10
73 3170 17
74 10599 9
74 54 28
75 21214 7
75 7120 71
75 10599 53
76 10601 8
76 7122 10
77 21044 7
77 21043 6
77 12091 42
78 10609 46
78 7152 54
78 15293 8
79 7149 97
79 10608 8
79 10610 23
80 15292 17
81 2815 13
81 2810 12
81 10252 102
82 13505 5
82 16080 79
82 10254 5
82 11707 5
83 3020 16
83 13485 66
83 11936 7
83 11935 6
84 13502 10
84 13485 10
84 13484 12
85 13497 8
85 12288 10
85 5326 12
85 10544 9
86 13495 6
86 10546 11
87 21039 1
87 11708 7
87 16496 4
87 13492 9
88 11730 5
88 13496 16
89 5351 3
89 13301 14
90 5349 35
91 13330 7
91 13331 7
91 13333 6
92 21638 4
92 15767 16
92 3918 51
93 4339 6
93 13320 32
93 8767 46
94 10916 7
94 13322 10
94 4295 53
94 13318 54
95 4319 8
95 3305 16
95 3306 9
96 13285 4
96 13280 7
97 98 23
97 14122 8
98 97 23
98 11639 6
98 14166 23
98 21701 9
99 14158 6
99 14157 6
100 14147 10
100 14160 5
101 100 39
101 11377 5
102 14145 5
103 14124 6
103 14125 6
104 10621 19
104 9504 8
105 9505 9
105 4326 31
106 9372 33
106 12787 6
107 14141 9
107 9366 13
108 14142 7
108 9360 19
109 14137 45
109 14143 6
110 9759 9
110 10614 10
111 9757 9
111 9758 11
111 9756 11
112 4294 10
112 14114 8
112 9410 19
113 14093 7
113 4302 10
113 4300 52
114 9753 34
115 15767 51
115 6535 23
116 13309 5
116 13311 7
117 13324 6
117 20815 29
118 4318 41
118 9457 28
119 3232 24
119 4416 28
119 4318 18
119 4322 14
119 4341 15
120 3228 9
120 12843 9
120 11322 9
121 1375 18
121 4298 18
122 4299 3
122 112 56
122 4296 13
123 1897 9
123 12339 32
123 11888 29
124 21224 6
125 9748 9
125 1177 21
126 4336 9
127 10603 8
127 72 62
127 7139 8
128 12291 6
128 5140 7
129 14829 10
129 10242 50
130 14863 10
130 5142 28
131 3239 31
131 14850 10
131 14865 11
131 9334 87
132 15916 8
132 130 30
133 17373 8
133 10275 66
134 1057 20
134 5411 17
134 5410 51
134 10880 22
135 4338 12
135 2350 9
135 4710 12
135 1263 26
136 3205 14
136 9883 12
136 1263 27
137 14922 11
137 2496 13
137 1865 40
138 14841 6
138 2498 14
138 14828 5
139 567 15
139 4708 9
139 140 53
140 6795 11
140 21294 14
141 16573 6
141 2728 15
141 147 65
142 16909 7
142 143 32
142 16910 10
142 4528 54
143 16911 11
143 142 32
144 4541 10
144 2905 14
145 4528 15
145 4533 13
145 4508 10
146 2728 63
146 4527 43
147 146 28
147 4519 11
148 12626 8
148 12553 10
148 18054 22
148 10548 7
149 12767 6
149 12762 9
149 12761 4
150 10355 49
151 10619 10
151 4328 10
151 152 52
151 21482 11
152 12798 7
152 2279 20
152 12801 6
152 151 52
153 2746 8
153 2741 9
154 13943 6
154 13950 7
154 2752 60
155 1212 25
155 5827 8
155 5828 9
156 559 34
156 158 47
156 13006 5
156 13002 5
157 4622 38
157 558 56
157 11282 5
157 13005 5
158 160 23
158 156 47
158 13001 5
159 5827 49
159 2883 18
160 158 23
160 161 46
160 13008 5
161 12966 57
161 160 46
161 13000 5
161 13007 4
162 12988 6
162 163 66
162 19046 7
162 583 94
163 162 66
163 14888 5
163 1210 24
164 20767 5
164 1210 47
164 2738 24
165 21606 12
165 5136 56
165 1398 39
165 1399 26
165 5154 38
166 2768 8
166 9422 25
166 1397 30
167 14744 5
167 19046 32
168 553 9
168 491 38
169 493 25
170 1404 66
170 557 8
171 14729 49
171 21804 70
172 2896 6
172 581 10
173 12986 6
173 14739 8
173 583 9
173 2341 64
174 14251 9
174 3582 8
174 2758 7
175 10682 12
175 2289 6
176 10654 11
176 1594 24
177 10291 15
177 9891 11
177 9893 10
178 10293 11
178 13120 6
179 573 15
179 3641 49
180 8839 14
180 2865 17
180 8837 35
181 8838 10
181 14762 6
181 8837 7
181 8836 11
182 13118 58
183 10576 36
183 10577 49
184 185 38
184 14264 35
184 10718 41
185 2901 31
185 184 38
186 2334 8
186 4097 20
186 14522 10
187 196 41
187 2384 41
188 16615 7
188 3577 8
188 3627 12
189 3610 54
189 16615 70
189 3580 8
190 16618 71
191 3625 7
191 3578 54
191 3618 89
192 3596 9
192 3610 10
192 3578 10
192 16694 8
193 16683 8
193 15252 9
193 16691 7
194 15253 7
194 16694 45
194 15252 36
195 16696 8
195 188 45
196 187 41
196 12281 30
197 11159 7
197 14706 8
197 1050 78
197 2788 25
198 14705 5
198 3626 157
199 2785 23
199 578 25
200 577 14
200 3611 15
200 3616 10
201 202 17
201 14490 8
201 14500 13
201 5971 20
202 10318 5
202 14491 6
203 18862 9
203 9831 47
203 204 43
204 5973 12
204 3646 10
204 203 43
205 9836 8
205 3603 9
205 3601 30
206 14436 7
206 14437 7
206 3714 12
206 207 42
207 16712 7
207 4171 45
207 206 42
208 3732 11
208 3727 10
208 3726 10
208 6270 26
209 18804 6
209 18875 7
209 18840 7
210 3725 7
210 3712 7
211 18871 8
211 18872 7
212 213 97
212 3596 45
212 3587 11
212 3584 8
213 18738 9
213 212 97
213 18773 12
214 6349 75
214 18740 12
214 18779 9
215 5588 5
215 6349 9
215 6348 8
216 18759 44
216 2874 31
217 18766 6
217 2845 48
218 2916 19
218 5584 9
218 6324 10
219 2917 7
219 3717 166
220 5584 23
220 6318 7
220 6309 41
221 8964 9
221 18887 59
222 18826 11
222 3721 12
222 3711 13
222 2969 31
223 18803 8
223 6293 89
224 33 25
224 3581 34
225 14341 53
226 14681 5
226 14683 10
227 14682 9
227 22 94
227 15352 70
228 12282 7
228 3601 8
228 32 41
229 23 68
229 24 71
230 9833 55
230 9460 38
231 11133 4
231 14301 144
232 15236 8
232 15352 5
232 1221 42
233 18768 5
233 18775 51
234 18758 55
234 235 72
234 18767 5
235 234 72
235 1318 60
236 18757 9
236 18758 10
236 18759 11
237 25 37
237 2843 26
238 10321 21
238 34 46
239 21724 22
239 18779 54
240 18772 22
240 18771 52
241 3724 14
241 2961 11
241 10724 107
242 13187 9
242 2963 6
242 13188 12
243 9352 37
243 4159 8
243 10389 7
243 2972 31
244 3726 109
244 18901 9
244 2920 39
244 16707 110
244 16708 114
245 18940 11
245 21614 77
245 15859 19
246 8894 6
246 17449 3
247 10388 8
247 2967 27
247 2972 10
248 10386 9
248 2955 8
248 249 93
249 10385 6
249 18490 6
249 250 15
249 248 93
250 2191 12
250 249 15
250 2187 16
251 9342 50
251 6610 3
251 15721 6
252 1476 39
252 9342 9
252 1477 46
253 2185 99
253 2190 20
253 254 25
254 2900 13
254 253 25
255 566 15
255 3640 10
255 3642 9
256 284 34
256 2196 8
256 261 32
257 256 35
257 2260 25
257 260 44
258 257 56
258 4610 42
259 12410 15
260 257 31
260 259 57
261 2203 9
261 256 32
261 260 34
262 18990 7
262 2257 26
262 18991 6
262 18993 6
263 2198 8
263 9279 13
263 10322 35
264 18992 6
264 6556 9
264 18995 9
264 18994 9
265 6794 9
265 6796 47
266 288 28
266 1405 11
267 2887 6
267 2898 29
267 2882 25
268 2911 7
268 2882 7
269 10047 9
269 15752 7
269 10048 8
270 283 36
270 15751 10
270 15752 24
271 14953 8
271 15632 4
271 4823 69
272 2886 6
272 2875 6
272 2923 6
272 2898 6
273 18191 7
273 18189 7
273 18190 7
273 18188 7
274 18193 7
274 18194 7
274 18192 6
275 4704 10
275 4702 10
275 2421 51
275 4688 79
276 10887 8
276 18988 6
276 10888 9
276 18097 7
277 18116 7
277 18095 6
278 16373 9
278 7587 16
278 16012 18
279 18228 26
280 281 17
281 18188 46
281 279 17
282 10568 67
282 2923 30
283 270 36
283 2892 8
283 15632 27
284 2893 8
284 256 34
284 6566 32
285 18989 7
285 2877 2
286 16012 6
286 2494 19
286 16358 10
287 6783 7
287 4703 50
288 18093 9
288 4819 21
289 9283 28
290 2864 69
290 2288 172
290 14947 8
290 10160 170
291 2277 99
291 562 34
291 14899 40
292 6332 35
292 14892 8
292 6333 21
293 561 38
293 10283 39
294 16435 5
294 561 9
294 6331 14
295 14774 6
295 10631 8
295 2769 23
296 2194 11
296 15658 7
297 10565 14
297 16608 8
298 14910 8
298 18201 23
298 10565 11
299 300 18
299 4697 7
300 4690 12
300 4685 17
301 21182 30
301 4681 15
302 4673 17
302 3657 51
303 4694 13
303 4684 13
303 4682 11
303 6822 26
304 4672 8
304 4675 8
304 4676 10
304 4670 10
305 6776 7
305 6779 40
306 6772 8
306 4691 38
307 4700 10
307 4693 11
307 4698 10
308 10563 7
308 6999 11
309 14466 27
309 341 27
310 18151 5
310 4670 51
310 7012 7
311 11115 10
311 11136 7
311 3661 77
312 7577 109
312 5969 10
312 18506 4
312 18507 6
313 4665 8
314 4815 11
314 4705 18
315 2497 4
315 4682 55
315 4679 10
316 6849 30
316 981 22
317 12909 74
317 1190 60
317 12915 6
317 12910 78
317 11512 75
318 6922 67
318 4490 8
318 6925 27
319 4534 58
319 1213 55
319 11278 6
320 4518 9
320 2760 7
320 2727 11
321 7046 75
321 5152 10
321 4504 7
321 4498 8
322 7642 10
322 7640 11
322 4505 9
322 4495 10
323 4372 7
323 976 51
323 12919 12
324 6921 127
324 332 54
325 15572 5
325 7044 36
325 4495 51
326 3162 49
326 15568 110
326 6916 7
326 6915 21
327 5151 10
327 4506 11
327 4501 7
327 5361 98
328 2724 24
328 10570 7
328 16398 5
329 4479 5
329 1234 6
329 1233 107
330 1235 6
330 4971 50
330 15508 6
331 6983 4
332 15558 9
332 324 54
332 7641 5
333 15553 10
333 4491 5
333 18548 5
334 3173 35
335 4499 4
335 7049 54
335 6832 7
336 15441 6
336 5237 61
336 7018 18
337 5235 17
337 21755 57
338 15462 5
338 7597 17
339 2523 6
340 15971 8
340 16357 12
340 17579 12
341 14468 4
341 14469 5
341 3654 15
342 2517 31
342 2518 16
342 2525 17
343 5198 5
343 18532 4
343 18535 5
343 10569 74
344 2522 9
344 2524 14
344 345 35
345 4807 16
345 344 35
345 346 58
346 4804 15
346 988 16
346 345 58
347 4486 5
347 10569 10
347 4476 52
348 983 38
348 16400 7
349 18572 5
349 4503 45
350 4500 10
350 4497 11
350 4492 9
351 18562 10
351 349 47
352 6957 22
352 6953 3
352 18615 4
352 16630 6
353 18606 4
353 6957 53
353 991 69
354 18550 7
354 355 28
355 4493 12
355 15551 7
356 334 50
356 6933 17
357 18580 9
357 18578 7
358 1231 6
358 18636 23
359 1230 6
359 15823 75
360 4478 8
360 12315 6
360 4474 8
361 10709 9
362 12933 12
362 7639 5
363 18585 5
363 18583 5
363 18584 4
364 4489 99
365 1232 6
365 6944 51
366 365 26
366 12943 5
367 4374 93
367 12942 12
368 18586 4
368 6968 27
369 18545 37
369 18549 6
370 9690 33
370 17381 9
371 2989 42
371 9681 28
372 2989 12
373 19366 7
373 9698 10
373 9696 9
374 9691 19
374 19372 6
375 5484 19
375 6742 10
376 9507 6
376 9506 12
376 6184 30
377 9507 28
377 9652 3
377 19337 7
377 19342 7
378 19328 8
378 19380 9
378 19379 12
378 9735 9
379 19340 7
379 9696 39
379 19380 39
380 6753 5
380 15136 6
380 20017 5
380 9718 58
381 2981 6
381 2997 26
381 9651 12
382 19510 7
382 19354 5
382 1746 10
382 19509 6
383 6185 4
383 9508 9
383 9646 9
384 6189 15
384 19292 8
384 19294 7
384 3009 26
385 19307 6
385 9650 4
385 13889 37
386 19334 6
386 19389 92
387 9767 14
387 2816 195
387 5480 34
388 21287 28
388 9781 11
389 9737 10
389 2827 8
389 21285 9
390 404 16
390 16349 32
390 16346 11
391 6172 7
391 16348 10
391 1744 5
392 19568 10
392 19567 5
392 19547 58
393 10219 2
393 19534 5
393 16452 5
394 2841 7
394 16431 10
395 2835 7
395 396 53
395 403 35
396 7441 6
396 6457 10
396 395 53
396 16486 10
397 19537 7
397 19538 8
397 6449 17
398 19543 8
398 16451 8
398 19542 6
398 19541 8
399 19548 7
399 19546 7
399 19549 8
400 19504 7
400 6456 8
400 19505 8
400 19503 8
401 9800 23
401 6462 10
401 6134 54
402 7445 7
402 6132 54
402 4926 11
402 6131 10
403 395 35
403 2836 31
403 19475 7
404 16344 6
404 13831 9
404 390 16
404 13889 26
405 2815 17
405 9763 16
405 5555 38
406 407 57
406 19309 5
406 1423 14
406 3022 87
407 406 57
407 12108 6
407 5559 164
407 9776 13
408 2817 91
408 2829 48
409 19469 5
409 2842 14
409 15193 7
410 2833 9
410 12082 5
410 12105 8
410 2832 23
411 2830 12
411 2832 44
412 1073 6
412 1076 5
412 19468 5
413 12250 8
413 19458 10
413 19457 7
414 16446 4
414 3036 32
415 19524 9
415 9803 4
415 9800 11
415 9806 11
416 10014 28
416 21292 14
416 1125 11
417 1997 35
417 9813 15
417 3211 17
418 4927 18
418 7841 53
418 6150 19
419 5172 9
419 10853 14
419 7841 23
420 2731 13
420 2735 26
420 2729 18
420 2730 22
420 2774 23
421 4899 8
421 2837 9
421 2730 54
422 19500 5
422 2840 9
422 6494 8
423 7718 12
423 3023 10
423 2736 8
424 3887 11
424 20037 9
424 2987 62
425 6763 14
425 16070 11
425 3774 16
425 4553 15
426 10192 19
427 12031 8
427 2732 10
427 428 78
428 10307 9
428 2733 42
428 427 78
429 1134 7
429 12050 7
429 12049 6
429 3674 57
430 12527 11
430 3 26
430 4291 41
431 16461 9
432 16468 25
433 16458 12
433 16469 6
434 9551 9
434 2781 8
435 20805 8
435 13884 30
435 9552 65
436 13259 7
436 9556 25
437 12615 5
437 4281 7
438 12635 10
438 439 46
438 10549 31
439 12405 10
439 438 46
439 4283 51
440 9557 10
440 10363 8
440 4283 10
441 4288 29
441 4279 35
442 2073 58
442 10550 10
442 4276 8
442 446 89
443 12559 6
443 2072 16
444 10365 22
444 10364 12
445 12648 6
445 3473 5
446 12305 8
446 12553 7
446 442 89
447 12639 5
447 12638 4
447 12636 6
447 12637 4
448 12628 6
448 2070 7
449 12594 7
449 10215 11
449 12622 9
450 12334 11
450 12333 11
450 1639 18
450 12545 11
451 21035 18
451 2211 4
451 21036 31
451 5977 11
451 11840 8
452 12655 8
452 2210 9
452 12653 5
453 1608 8
454 10471 8
454 13460 11
454 13443 9
454 691 113
455 10527 9
455 15395 8
455 15397 14
455 20766 12
456 4257 7
456 952 7
456 4251 8
457 4255 11
457 12714 6
457 5795 10
458 4227 8
458 4256 9
459 4253 6
459 4245 9
459 4252 54
460 958 43
460 4264 7
460 19077 6
460 19076 5
461 14422 7
461 5801 7
462 5799 7
462 18998 8
463 464 29
464 5800 9
464 465 19
465 12575 6
465 1628 44
466 463 24
467 14429 57
467 12730 22
467 19222 28
467 1642 31
468 4267 9
468 1226 85
468 4271 10
468 12730 7
469 4268 15
469 4275 12
470 4678 10
470 4677 10
470 5256 72
471 10448 9
471 21603 7
471 18515 4
472 10068 11
472 15387 9
472 4289 43
472 1129 33
473 478 125
473 1214 50
474 5471 773
474 1383 106
474 5472 236
475 5471 34
475 20933 29
475 5481 56
476 12760 8
476 10845 119
476 20918 10
477 2338 24
477 15347 235
478 4459 12
478 11938 48
478 473 125
479 14792 4
479 2342 48
479 291 65
480 3232 11
480 11880 20
480 12821 18
481 2770 185
481 14758 25
482 483 39
482 5154 36
482 609 119
483 484 9
483 482 39
483 9412 7
484 485 5
484 483 9
485 486 32
486 9357 47
486 169 31
487 9384 77
487 610 39
488 487 31
488 2340 105
489 21757 31
489 488 45
490 552 23
491 485 150
491 555 32
492 493 39
493 481 40
494 21718 33
494 490 144
495 563 10
495 14758 143
495 14774 33
496 4629 13
496 4632 66
496 4633 61
496 12760 35
497 14721 8
497 4635 7
498 1415 58
498 13957 7
499 11424 27
499 683 27
499 4723 49
500 501 55
500 502 40
500 503 33
501 2136 36
501 16008 46
501 500 55
502 4722 45
502 2136 11
502 500 40
503 21808 14
503 500 33
503 5359 89
504 12769 3
504 12771 48
504 11700 5
504 12770 4
505 1106 9
505 13675 9
506 6707 8
506 548 23
507 505 20
507 2549 19
507 3863 13
508 1792 47
508 13732 11
509 510 14
509 2541 11
509 2542 12
509 2554 12
510 509 14
510 14076 8
510 14077 9
510 2041 59
511 2540 9
511 7775 27
511 14072 6
511 14071 6
512 927 11
512 16149 6
512 17870 9
512 2540 70
513 1805 68
513 1105 10
513 16118 8
513 17709 17
514 13675 11
514 13679 7
514 1106 11
515 10210 12
515 10213 14
515 10212 11
516 10799 6
516 20374 9
516 10475 20
516 8186 102
517 16027 8
517 2301 5
517 20375 6
517 16026 10
517 8062 57
518 20376 9
518 2312 30
518 1179 22
519 13794 10
519 13797 9
519 2308 16
519 1179 8
520 9165 48
520 17138 9
520 9934 80
521 9155 10
521 5859 12
521 9156 11
521 2106 13
522 10812 5
522 1160 64
522 3281 75
523 13749 7
523 7970 9
523 13820 13
523 5859 113
524 10485 16
524 5942 15
524 5938 13
524 10640 13
525 5911 16
525 5903 18
525 10486 12
526 17304 13
526 4585 13
526 4580 16
527 6330 18
527 10073 136
528 12331 7
528 12543 8
528 529 18
528 16317 67
529 12543 14
529 12545 9
529 528 18
529 4126 25
530 21354 3
530 12287 154
531 13419 2
531 5368 4
531 2510 173
532 16670 4
532 4242 16
532 5370 4
533 13465 3
533 4244 9
534 21349 3
534 787 81
535 16672 93
535 21357 4
536 2559 9
536 2077 11
536 2543 13
536 2535 17
537 2078 47
537 538 38
538 2077 31
538 537 38
539 16115 9
539 5734 12
539 2551 15
539 14052 10
540 20458 7
540 3664 48
541 647 10
541 16591 8
541 16592 9
541 8218 27
542 14010 27
542 20506 11
542 16580 127
543 2476 15
543 544 18
543 16580 6
544 16582 4
544 543 18
545 20389 10
545 8140 31
545 2060 4
546 9828 10
546 9827 13
546 9829 11
546 9830 13
547 982 38
547 9463 38
548 6709 8
548 10416 7
549 10288 22
549 4627 27
550 291 78
550 293 60
551 492 38
551 4125 26
552 551 10
553 552 52
553 554 31
554 4125 24
554 169 91
555 1377 81
555 491 32
556 5157 10
556 2285 4
556 15330 43
557 494 12
557 15323 29
558 157 56
558 684 35
558 11324 6
559 156 34
559 4622 24
559 11325 5
560 14905 4
560 14901 23
561 16432 3
561 294 9
561 14948 19
562 5773 51
562 563 21
562 291 34
563 495 10
563 16566 2
563 2769 26
563 562 21
564 40 20
564 5844 8
564 4357 113
565 6911 8
565 2723 20
566 255 15
566 3637 9
566 3639 6
567 4707 9
567 139 15
567 4706 10
568 2355 14
568 2393 131
569 568 134
569 10567 9
570 567 53
570 140 15
571 14272 6
571 5972 20
572 10581 12
572 13131 6
573 15657 7
573 179 15
573 1053 31
574 2412 31
575 2141 10
576 2758 9
576 14709 9
576 580 32
577 200 14
577 3613 12
577 2791 7
578 2805 13
578 199 25
578 2248 79
579 9894 22
580 12977 6
580 10680 66
581 9895 10
581 4612 6
581 172 10
582 12966 5
582 5421 10
582 2217 13
582 9180 13
583 9379 16
583 173 9
583 162 94
584 13028 7
584 13029 7
585 13026 27
585 13007 58
586 4612 39
586 587 43
587 2883 10
587 13009 9
587 586 43
588 13021 5
588 13001 94
589 1407 32
589 13014 6
590 13018 7
590 13017 6
590 13016 5
591 4241 8
591 3480 12
592 5783 12
592 4274 12
592 4273 10
592 4272 13
593 10367 7
593 10365 6
594 2440 13
594 973 18
594 16 70
595 17466 7
595 5874 9
595 5873 14
596 8642 15
596 20592 6
596 8639 21
597 20648 9
597 8659 12
597 3329 19
597 3331 12
598 3315 11
598 3354 17
599 20553 4
599 2431 30
599 21846 40
600 10822 6
600 5876 50
600 21846 51
601 7993 6
601 7992 23
601 7994 57
602 8199 12
602 7986 9
602 8203 34
603 8207 9
603 2157 18
603 8204 11
604 2712 18
604 3311 30
605 2165 5
605 9900 5
606 8584 49
606 10626 6
606 10625 10
607 21104 6
607 10794 9
607 8211 10
607 10795 13
608 9354 4
608 9353 18
608 2738 29
609 482 119
609 610 15
609 9353 19
610 9494 5
610 609 15
610 487 39
611 2864 22
611 14734 68
611 14733 11
612 14734 11
612 2860 91
612 3881 65
613 15931 22
613 7700 74
614 15230 3
614 11852 8
614 11851 12
614 4915 25
615 11881 4
615 20906 66
616 20126 9
616 20113 9
616 20123 9
617 4435 7
617 10427 30
617 5381 10
618 9111 6
618 1021 47
619 618 68
619 1022 24
619 2322 11
620 619 28
620 718 25
621 9111 39
621 2297 6
621 17369 5
621 17368 3
622 2197 14
622 2195 16
622 2184 12
622 2189 12
623 4155 57
623 6410 6
623 16392 19
623 8894 106
624 9453 2
624 4174 91
624 4104 91
625 6312 9
625 6308 35
626 17363 60
626 17359 156
626 16797 6
627 6380 16
627 6376 35
627 16667 24
628 5149 14
628 8971 18
629 19019 4
629 19043 6
629 19037 56
630 964 28
631 16728 7
631 9190 6
631 2927 46
632 16720 7
632 633 62
632 4193 9
633 16734 7
633 4207 33
633 632 62
634 4663 14
634 18412 10
634 1611 44
634 4664 14
635 13820 93
635 21439 128
636 10130 12
636 20226 4
637 642 10
637 14041 7
637 13714 8
637 3908 118
638 642 10
638 14044 7
638 14045 7
638 5900 127
639 5901 10
639 8262 27
639 17976 6
640 14016 6
640 10438 17
640 2057 81
641 2480 22
641 4578 64
641 2481 15
642 2555 9
642 638 10
642 637 10
642 2548 9
643 20402 5
643 20403 6
643 2544 11
643 8239 48
644 20401 5
644 8239 4
644 2560 9
645 2534 18
645 2546 11
646 20443 7
646 14030 5
646 645 12
647 16284 12
647 648 12
647 541 10
647 2561 15
648 647 12
648 16592 11
648 20432 12
648 2067 16
649 650 48
649 8222 55
650 649 48
650 2068 49
650 900 14
651 5816 10
651 15405 11
651 10884 9
652 5814 9
652 5816 54
653 20274 4
653 20275 6
653 1090 63
654 2226 14
654 1092 48
655 3450 40
655 10024 23
656 10004 33
656 10002 32
656 9805 48
657 10003 21
657 2980 45
658 9961 16
658 16061 12
658 1861 28
658 9962 19
659 10008 29
659 10011 31
660 2234 11
660 21445 12
660 21443 25
661 10021 7
661 1994 29
662 10990 8
662 4412 54
662 3132 41
663 19239 91
663 19234 9
663 10402 5
663 5330 28
664 665 78
664 12950 7
664 15848 6
664 847 11
665 7623 11
665 664 78
666 19233 6
666 7013 42
666 12952 4
667 13617 39
667 668 21
668 20954 5
668 667 21
668 20955 12
669 13576 7
669 17606 36
669 21070 81
670 2469 39
670 8734 190
671 2267 19
671 21142 9
671 1619 59
671 21143 8
672 2430 27
672 21768 10
672 21762 45
672 2431 23
673 2428 14
673 10828 4
673 2432 146
674 17019 13
674 4074 10
675 16613 3
675 11884 7
675 11883 4
676 675 10
676 16611 19
677 97 26
678 14123 19
678 12790 6
679 4303 45
679 4299 9
680 14096 8
680 4301 29
681 10622 26
681 14165 7
682 4123 29
682 150 29
683 2742 8
683 499 27
683 13969 28
684 558 35
684 12961 6
684 12277 5
684 12955 39
685 789 11
685 1072 29
685 4262 11
685 4246 13
686 11584 7
686 3506 14
686 4258 15
687 14376 5
687 5807 8
687 4248 5
688 4063 6
688 4645 7
688 4655 6
689 2374 7
690 19239 5
690 5328 9
690 3135 5
691 16589 5
691 2559 59
691 454 113
692 7733 14
692 4291 11
692 4440 12
692 2 43
693 2179 13
693 18947 15
693 18952 9
694 697 36
694 4667 36
695 18340 10
695 6773 9
695 4693 33
696 6770 19
696 4680 39
696 16395 9
697 18357 9
697 694 36
698 7558 42
698 7564 12
698 7561 8
699 2930 11
699 15022 4
699 2937 153
700 1112 10
700 9200 13
701 18686 9
701 9188 60
702 7537 6
702 7539 6
702 7538 10
702 7540 8
703 18496 9
703 7486 38
704 5127 8
704 7433 13
704 18503 181
705 18503 6
705 7550 12
705 7548 11
705 7549 10
706 2316 15
706 2225 61
707 18667 6
707 2225 35
707 2223 27
708 2936 13
708 9204 10
708 9049 16
708 9202 13
709 2331 11
709 620 21
710 2216 11
710 2954 10
710 2950 15
710 16648 9
711 2935 17
711 10029 9
712 4904 8
713 8980 7
713 10452 43
713 16767 9
713 18949 4
714 2928 13
714 16729 7
714 16031 7
715 10104 5
715 14954 3
715 1022 8
716 2025 68
716 2175 12
717 15132 8
717 15106 11
717 2179 98
718 709 22
718 719 29
719 2332 10
719 2321 14
719 18665 7
720 7559 87
720 18420 8
720 20686 66
720 6986 83
721 7581 36
721 723 118
721 728 148
721 730 42
721 6986 78
722 742 23
722 7585 71
722 740 60
722 736 92
723 7001 8
723 721 118
723 742 32
724 7559 65
724 18418 9
724 729 25
725 729 2
725 726 48
725 18415 29
726 725 48
726 728 121
726 727 81
727 18414 9
727 726 81
727 728 85
728 6987 14
728 726 121
728 727 85
728 721 148
729 725 2
729 724 25
729 18417 29
730 6994 2
730 731 53
730 721 42
731 747 16
731 730 53
731 746 66
732 747 6
732 745 85
732 733 48
732 6996 49
733 758 13
733 732 48
733 734 76
734 745 46
734 735 119
734 733 76
735 18427 10
735 734 119
735 751 34
736 737 16
736 18423 22
736 722 92
737 736 16
737 18422 28
737 18423 22
738 20687 29
738 20686 8
