1656 3550
72 71 60
72 1514 71
73 75 136
73 72 23
74 1480 24
74 73 109
75 74 46
76 637 61
76 96 53
76 1509 39
77 71 89
77 96 67
77 885 137
78 813 51
78 1041 65
79 486 27
79 86 58
80 81 23
80 85 60
81 80 23
81 83 66
82 92 59
82 1654 46
83 91 58
83 82 49
84 812 39
85 87 40
85 84 68
86 85 52
86 87 84
87 88 52
87 85 40
88 84 51
88 89 55
89 90 30
89 101 108
90 811 50
90 84 56
91 811 11
91 102 100
92 91 49
92 82 59
92 1335 63
93 92 98
93 94 54
94 93 54
94 99 57
94 103 70
95 1399 34
96 77 67
96 76 53
97 96 60
97 637 52
98 1476 57
98 1197 32
99 100 59
99 94 57
100 1113 130
100 1365 166
100 99 59
100 901 43
100 103 132
101 1453 33
101 487 54
102 93 56
102 487 13
102 91 100
103 1453 77
103 100 132
104 106 70
105 104 115
105 61 62
106 590 109
107 60 62
107 104 47
107 59 40
108 109 93
108 894 18
109 890 81
109 1351 60
110 111 85
110 108 34
111 1117 31
111 891 33
111 110 85
111 1417 101
112 110 30
112 893 19
113 112 74
113 123 61
114 692 20
114 1346 27
114 690 59
115 788 26
115 975 61
115 977 71
115 119 87
116 1108 14
116 1111 133
116 788 27
117 1036 13
117 691 87
117 886 40
118 1037 14
118 117 101
118 887 39
119 424 15
119 120 53
119 115 87
120 1590 14
120 116 88
121 36 97
121 126 65
122 660 56
122 123 32
122 125 70
123 660 68
123 122 32
124 1084 14
124 1224 109
125 659 50
125 122 70
125 759 19
126 260 144
126 125 84
127 1447 81
127 930 156
128 436 736
129 414 41
129 1241 72
130 771 25
130 131 56
130 1560 44
131 130 56
131 439 71
132 803 364
132 437 94
132 134 39
133 803 75
133 974 43
134 1052 34
134 132 39
135 418 9
135 383 188
136 386 25
137 383 330
137 136 99
138 435 10
138 431 94
139 431 16
139 142 83
139 163 45
140 139 109
140 430 22
141 145 97
141 944 30
142 1416 15
142 143 130
142 139 83
143 1148 68
143 1463 13
144 428 15
144 206 58
145 979 25
145 1171 19
145 141 97
145 966 36
146 1461 58
147 1440 36
147 5 66
148 149 38
148 147 47
148 1004 54
149 988 39
149 148 38
150 1145 219
150 1155 100
151 160 41
151 1003 41
152 153 76
152 1005 52
152 1003 29
153 156 64
153 152 76
153 154 65
154 151 76
155 154 62
155 156 63
155 26 99
156 174 53
156 153 64
156 155 63
156 158 53
157 173 54
157 158 44
157 1156 120
158 159 140
158 156 53
158 157 44
159 158 140
159 152 45
160 151 41
160 27 39
161 162 48
161 686 78
161 18 37
162 161 48
162 188 163
163 432 14
163 688 85
164 165 17
164 1311 41
164 1007 33
164 167 114
165 159 45
165 157 141
166 5 59
166 151 85
166 167 43
167 164 114
167 166 43
167 149 63
168 26 61
168 160 125
168 27 79
169 170 99
169 1156 55
170 171 107
170 1332 173
170 181 81
170 169 99
171 183 85
171 1331 98
171 172 41
172 175 106
172 183 118
173 1331 41
173 172 98
174 175 97
174 156 53
174 184 163
174 173 99
175 174 97
175 176 84
175 29 170
176 177 84
176 175 84
176 196 63
177 1310 5
177 176 84
177 1085 35
178 1080 31
178 193 54
179 1071 48
179 192 56
180 1088 7
180 1157 166
181 1387 9
181 170 81
182 1553 38
182 1157 29
182 1387 248
183 171 85
183 1333 89
184 28 25
184 26 43
185 28 60
186 25 194
186 19 94
186 189 75
187 20 68
187 21 71
188 5 67
188 947 41
189 947 186
189 186 75
189 776 42
190 191 54
190 178 62
191 192 72
191 193 65
191 190 54
192 191 72
192 33 71
193 178 54
193 1088 147
193 191 65
194 22 37
194 21 67
195 1418 21
195 29 46
196 195 119
196 176 63
197 6 118
197 1156 114
197 1464 75
198 796 151
198 587 167
198 1174 102
199 1334 107
199 201 82
200 203 90
200 201 64
200 1145 182
201 1340 71
201 202 109
201 200 64
202 1340 77
202 201 109
202 459 92
203 200 90
203 1340 62
203 17 109
204 954 122
204 9 131
204 205 25
205 204 25
205 1082 20
206 423 15
206 119 409
206 966 49
207 235 34
207 212 32
207 218 82
208 207 35
208 970 25
209 208 56
209 965 36
210 209 32
211 208 31
211 210 57
212 207 32
212 211 34
212 215 81
213 967 26
213 236 58
213 215 35
213 1567 29
214 215 40
214 217 92
215 214 40
215 212 81
215 213 35
215 983 42
216 240 179
216 782 55
217 239 28
217 252 218
218 221 81
218 223 35
218 219 32
219 984 40
219 218 32
220 982 27
220 221 31
220 980 42
221 234 36
221 231 37
221 220 31
222 231 101
222 243 159
222 234 31
223 234 80
223 235 82
223 233 36
223 218 35
224 1437 59
224 232 52
224 225 45
224 424 100
225 1023 59
225 224 45
225 226 45
226 1021 51
226 225 45
226 957 95
226 248 61
227 983 39
227 228 39
227 219 81
227 217 45
228 981 55
228 227 39
229 228 43
229 1035 24
230 220 37
231 232 17
232 224 52
232 230 17
233 223 36
234 221 36
234 223 80
234 222 31
235 207 34
235 1337 32
235 223 82
236 213 58
236 210 81
237 1035 19
238 1023 61
238 226 61
239 1272 21
239 228 33
240 214 56
241 453 170
241 1337 182
242 976 99
243 1505 134
243 419 9
243 222 159
244 952 11
244 953 49
245 1437 14
245 1549 8
246 1225 168
246 957 25
247 258 53
247 1152 164
248 257 84
248 258 66
248 249 150
248 226 61
249 250 110
249 255 61
249 1616 85
249 248 150
250 249 110
251 250 90
251 252 48
252 216 150
252 498 44
252 217 218
253 1616 134
253 1323 93
254 253 39
254 1151 64
255 1353 7
255 258 154
255 249 61
256 500 35
257 1271 23
257 237 27
258 255 154
258 247 53
258 248 66
259 121 62
259 660 22
260 262 116
260 126 144
260 275 65
261 1196 113
261 265 89
261 267 78
262 263 88
262 264 155
262 260 116
262 265 61
263 262 88
263 39 120
264 272 54
264 262 155
265 261 89
265 262 61
266 267 73
266 271 115
267 266 73
267 1105 24
267 1045 106
267 261 78
268 1222 216
268 1046 57
268 1055 64
269 658 133
269 300 166
270 1279 50
270 1104 29
271 1045 50
272 264 54
272 271 63
272 273 49
273 274 46
273 290 85
273 272 49
274 567 72
275 265 113
275 1196 109
275 260 65
276 277 86
276 1226 104
277 276 86
278 1044 6
279 1523 8
279 1420 30
280 1043 31
280 790 74
280 666 28
281 793 52
281 1420 181
281 282 35
282 281 35
282 283 58
282 790 86
283 664 74
283 665 140
283 282 58
284 1047 119
284 1046 139
284 667 67
285 661 38
286 285 164
286 287 56
287 299 49
287 1220 136
287 289 72
288 292 95
288 286 47
289 290 28
289 303 100
290 298 116
290 291 64
291 274 50
292 760 36
292 293 60
293 1031 120
294 293 80
295 760 45
295 302 66
295 294 68
296 297 85
297 301 57
297 298 48
298 290 116
298 302 96
298 299 70
299 295 105
300 1446 182
301 291 102
301 300 122
302 298 96
302 296 54
303 273 47
303 289 100
304 1270 38
304 713 120
305 306 54
305 882 37
306 305 54
307 1270 89
307 310 95
307 308 81
308 345 110
308 1000 142
309 1330 30
309 310 131
309 313 120
310 307 95
310 309 131
310 308 139
310 311 135
311 313 84
311 312 51
311 310 135
312 311 51
312 323 77
312 831 219
313 311 84
313 707 200
313 309 120
314 1065 41
314 1060 60
315 1065 8
315 1064 40
315 1062 62
316 327 16
316 1541 32
316 1496 15
317 320 31
317 1097 89
318 319 53
318 326 35
318 317 106
319 318 53
319 320 57
319 332 117
319 325 65
320 319 57
320 317 31
320 321 66
321 322 73
321 320 66
321 1097 29
321 325 85
322 712 98
322 323 71
322 321 73
323 324 101
323 312 77
323 884 34
323 322 71
324 323 101
324 712 72
324 334 34
325 321 85
325 712 68
325 319 65
325 333 112
326 318 35
326 331 118
326 1063 55
327 316 16
327 711 92
328 69 30
328 1303 31
328 773 488
329 1070 14
329 1067 98
329 1066 100
330 704 75
330 1067 75
331 704 6
331 705 5
331 326 118
332 705 87
332 333 73
332 319 117
333 332 73
333 336 126
334 884 104
334 475 57
334 324 34
334 619 124
335 1588 14
335 603 114
335 1401 99
336 619 179
336 333 126
336 337 106
337 332 181
337 338 76
337 336 106
338 612 106
338 339 151
338 337 76
339 560 102
339 338 151
339 735 173
339 342 97
339 340 76
340 1068 9
340 341 108
340 339 76
341 1069 9
341 342 90
341 329 60
342 341 90
342 339 97
342 1067 61
343 1098 83
343 1329 59
343 1000 16
344 1570 400
344 874 200
344 1229 50
344 1411 114
345 1411 19
346 350 81
346 1068 72
346 347 78
347 730 51
347 870 97
347 346 78
348 732 82
348 3 26
348 495 52
349 351 35
350 735 31
351 347 61
351 1336 28
352 773 116
352 1322 57
353 1058 58
353 1591 37
353 352 72
354 939 22
354 352 35
355 359 80
355 1296 46
356 363 51
356 357 46
356 1447 40
357 356 46
357 358 62
358 1419 8
358 357 62
358 1297 37
359 1571 39
359 593 45
360 938 58
360 856 50
360 363 49
361 443 80
361 1457 33
362 443 28
363 356 51
363 360 49
363 364 60
363 1391 35
364 357 47
364 1556 49
365 820 8
366 1431 9
366 1614 134
366 403 265
367 1136 74
367 827 87
367 377 28
368 1132 71
368 639 50
368 1134 34
369 15 144
369 368 43
370 553 52
370 369 63
370 639 58
371 643 43
371 540 69
371 644 47
371 640 29
372 373 85
372 829 47
373 557 24
374 375 29
375 376 19
375 642 156
376 805 28
376 366 57
377 374 24
378 1136 72
378 379 97
378 442 68
379 1194 15
379 1132 73
380 1247 10
380 520 288
380 519 166
381 731 84
381 593 56
381 730 33
381 940 64
382 1390 68
382 1507 235
383 136 64
384 417 23
385 386 39
386 1452 239
387 1198 89
387 384 144
388 1241 42
388 414 57
389 1491 25
389 1492 9
390 978 228
390 413 23
391 389 20
391 392 97
391 1049 38
392 755 112
392 1042 285
393 616 311
393 676 100
393 1367 19
393 468 502
394 445 127
394 1412 29
394 1425 47
395 1525 8
395 607 288
395 923 155
396 753 126
396 1525 44
396 754 22
397 398 236
397 1644 160
398 1118 50
398 399 126
398 449 323
398 397 236
399 464 107
399 802 247
399 398 126
400 924 154
400 608 105
400 1319 106
400 1573 247
401 606 29
401 610 95
401 467 238
402 1573 96
402 1022 257
402 931 410
403 404 18
403 366 265
404 1457 9
404 403 18
404 1176 82
405 494 68
405 406 42
405 407 180
405 742 93
406 405 42
406 679 99
407 907 63
407 405 180
407 1377 352
408 470 118
408 409 134
408 469 144
409 410 18
409 1235 27
409 408 134
410 409 18
410 466 185
411 563 29
411 625 74
411 620 415
411 412 70
412 1342 59
412 411 70
413 1421 23
413 1343 18
414 1240 27
414 388 57
415 242 78
415 419 97
416 385 38
417 416 10
418 417 52
418 136 122
419 243 9
420 1057 26
421 34 20
421 756 44
421 1201 113
422 421 227
422 1051 20
423 206 15
423 428 57
423 1009 22
424 119 15
424 1008 375
424 224 100
425 424 53
425 120 15
426 146 68
426 989 31
427 1462 59
427 1281 13
428 953 31
428 144 15
428 427 111
429 1017 31
430 945 10
431 139 16
431 434 32
431 138 94
432 163 14
432 431 45
432 4 77
433 138 32
434 433 94
434 430 78
435 440 36
435 138 10
435 439 45
436 128 736
436 437 71
437 979 73
437 956 85
437 132 94
438 439 36
438 131 99
439 131 71
439 435 45
440 810 32
440 438 44
441 369 37
441 1193 32
442 378 68
442 1194 130
442 1457 103
442 443 93
443 442 93
443 362 28
444 0 26
444 655 18
444 14 70
445 1129 171
445 446 182
445 394 127
446 451 118
446 946 62
446 445 182
447 1050 280
447 946 181
448 1513 189
448 1412 98
448 522 78
449 450 65
449 398 323
449 452 114
450 449 65
450 451 138
450 1050 196
451 450 138
451 446 118
451 452 129
452 609 63
452 449 114
452 1376 48
453 241 170
453 977 254
453 1171 65
454 1521 36
454 1366 74
455 677 75
455 852 79
456 742 122
456 678 99
456 495 102
457 669 47
458 457 96
458 516 25
459 584 146
459 202 92
459 17 148
459 1339 153
460 587 151
460 1553 24
461 649 97
462 1389 155
462 1184 33
462 513 197
463 519 82
463 1274 33
463 502 259
463 1275 26
464 399 107
464 1646 128
465 1231 91
465 1580 96
465 466 162
466 1528 71
466 410 185
466 465 162
467 401 238
467 1579 241
467 1048 307
467 971 273
468 393 502
468 971 34
469 408 144
469 468 109
469 936 28
469 1377 36
470 471 48
470 936 124
471 470 48
471 937 49
471 605 154
472 1317 67
472 473 64
472 1510 30
473 1316 9
473 472 64
474 719 48
475 1349 49
475 1096 50
475 334 57
476 1096 36
476 1094 45
477 1169 43
477 1401 410
477 595 40
478 832 38
478 1588 45
479 1647 25
479 716 348
479 1543 23
480 932 29
480 1326 28
481 550 60
481 1211 56
482 568 90
483 1576 459
484 1022 257
484 928 171
484 522 205
485 1217 273
486 80 26
487 103 57
487 102 13
488 703 29
488 489 175
488 558 30
488 523 84
489 1141 14
489 535 82
489 488 175
490 1313 8
490 461 80
490 1141 68
491 996 80
491 1593 168
492 996 7
493 1455 181
493 482 98
494 405 68
494 1424 121
494 823 74
495 729 105
495 2 43
495 348 52
495 456 102
496 515 111
496 695 186
497 500 36
497 1616 46
498 497 168
498 252 44
498 499 52
499 498 52
499 1247 50
499 500 169
500 497 36
501 504 168
501 1323 332
501 506 115
502 1404 152
502 504 183
503 1183 201
503 1557 75
504 505 118
504 502 183
504 1089 107
504 501 168
505 504 118
505 1090 205
505 506 188
506 505 188
506 501 115
506 1362 32
506 518 407
507 783 305
507 509 55
508 1091 23
508 1392 30
508 581 131
508 1542 68
509 458 21
509 569 50
510 1552 9
510 521 60
510 1092 146
511 1404 9
511 508 154
512 1388 91
513 1557 7
513 512 216
513 462 197
514 934 68
514 515 24
515 514 24
515 496 111
516 509 22
516 517 29
517 507 25
518 1323 39
519 380 166
519 463 82
519 520 109
520 519 109
521 1361 10
521 510 60
522 1318 592
522 484 205
522 448 78
523 524 71
523 525 37
523 488 84
524 523 71
524 528 43
524 1141 173
525 527 77
525 523 37
526 542 75
526 529 74
526 1607 99
527 526 117
528 525 74
528 534 36
528 524 43
529 533 76
529 525 122
530 12 566
530 701 137
530 531 76
531 1140 13
531 530 76
532 527 106
532 1449 17
533 1608 89
534 528 36
534 533 89
535 536 79
535 489 82
535 1139 51
535 558 168
536 535 79
536 537 50
537 559 79
537 701 42
538 540 69
539 699 30
540 538 69
540 371 69
540 649 66
541 372 69
542 1449 231
543 548 152
543 544 181
543 654 64
544 543 181
544 1278 106
544 1405 29
545 1405 13
545 655 218
545 544 29
546 1 27
546 547 49
546 931 270
547 1536 266
547 546 49
548 653 75
548 1405 225
549 552 108
549 995 131
550 1103 21
550 481 60
551 997 130
552 492 80
553 370 52
553 646 123
553 1445 135
554 559 117
554 536 85
555 1138 73
555 11 106
555 1137 57
556 1137 50
556 554 100
557 556 84
558 531 12
558 1140 8
559 537 79
559 1138 96
560 867 117
560 612 113
561 864 81
561 612 71
561 337 128
562 1629 134
562 563 106
562 860 60
563 628 163
563 411 29
563 562 106
564 735 64
564 613 106
564 3 104
564 732 89
565 866 17
565 1642 77
566 1305 32
567 1106 47
567 656 22
568 482 90
568 1211 242
569 458 56
570 571 217
570 664 164
570 578 295
571 570 217
571 1090 193
571 580 87
572 662 48
572 573 35
573 666 91
573 572 70
574 578 63
574 783 202
575 511 351
576 1093 51
576 521 162
576 577 129
577 576 129
578 510 154
578 570 295
578 574 63
579 580 123
579 793 141
580 579 123
580 571 87
580 958 144
581 508 131
581 785 115
581 583 189
581 588 147
582 1524 22
582 1338 29
582 1339 22
582 949 24
583 1024 104
583 948 123
583 581 189
584 1275 248
584 459 146
584 1024 76
585 1146 29
585 1179 40
585 1142 12
586 199 245
586 696 191
586 1524 160
587 198 167
587 460 151
587 794 139
588 589 129
588 581 147
588 1024 149
589 588 129
589 1392 128
589 1274 145
590 898 25
590 1398 26
591 731 55
591 593 83
591 355 47
592 1176 27
592 733 42
592 2 51
593 1571 27
593 381 56
594 622 19
594 600 287
594 597 124
595 1169 50
595 597 78
595 477 40
596 1527 13
597 604 292
597 595 78
597 594 124
598 807 31
598 806 14
599 623 37
599 603 196
600 601 51
601 604 159
601 916 143
602 808 94
602 807 14
602 603 88
603 602 88
603 335 114
603 599 196
604 601 159
604 597 292
604 806 89
605 1030 7
605 471 154
606 607 102
606 401 29
606 924 99
607 395 288
607 920 110
608 400 105
608 925 28
608 1320 79
609 445 37
609 1376 118
610 611 89
610 740 234
610 401 95
611 610 89
611 753 228
612 338 106
612 560 113
612 561 71
613 614 52
613 735 84
614 613 52
614 1641 74
614 868 104
615 668 22
615 1640 65
616 841 87
616 393 311
616 1370 106
617 864 81
617 858 82
617 863 91
618 861 133
618 619 265
619 872 63
619 336 179
620 626 37
620 1635 37
621 622 272
621 624 95
621 914 16
622 594 19
622 621 272
622 736 264
623 917 58
623 629 59
623 625 94
623 599 37
624 913 131
624 621 95
624 1651 16
625 411 74
625 623 94
626 627 382
626 1651 38
626 620 37
627 625 65
628 629 55
628 618 45
629 628 55
629 599 59
630 632 65
630 896 256
631 46 19
631 42 51
631 632 92
632 1301 51
632 630 65
632 43 153
633 1356 86
633 48 112
634 1356 56
634 42 88
634 41 96
635 47 44
635 55 144
635 636 71
636 54 145
637 98 28
638 70 54
639 368 50
639 702 79
639 370 58
640 828 54
641 702 32
641 367 30
642 643 27
642 1614 91
643 371 43
643 642 27
643 830 69
643 374 163
644 371 47
644 827 39
645 11 53
645 1445 56
645 1312 11
646 1652 63
646 373 52
646 829 73
647 640 47
647 644 28
648 461 69
648 541 75
649 648 29
649 540 66
650 652 70
650 651 119
650 1606 39
651 1317 67
651 1316 101
651 650 119
652 1374 36
653 654 139
653 548 75
653 13 27
654 1529 41
654 543 64
655 1025 32
655 444 18
656 264 48
656 263 128
657 1279 134
657 1051 70
658 1352 8
658 269 133
659 123 70
659 124 21
660 122 56
660 1506 25
661 285 38
661 1047 59
661 288 191
662 572 48
662 1364 97
662 790 124
663 664 117
663 665 77
664 570 164
664 283 74
664 663 117
665 283 140
665 1364 42
666 573 91
666 280 28
666 667 213
667 284 67
667 1550 224
668 1367 114
668 838 138
668 615 22
669 516 33
669 517 43
670 673 2
671 670 9
671 674 13
672 671 11
673 615 114
673 672 12
674 675 81
674 676 85
675 455 26
676 679 26
676 393 100
677 680 69
677 1636 24
678 854 34
678 456 99
678 850 66
679 675 125
679 676 26
679 406 99
680 677 69
681 13 29
682 14 342
683 684 90
683 1645 82
684 685 60
684 683 90
685 684 60
686 688 33
686 161 78
687 688 13
687 5 107
687 686 34
688 687 13
688 163 85
688 142 44
689 955 45
689 690 26
690 693 43
690 114 59
690 689 26
691 692 19
692 114 20
692 693 48
693 1116 24
694 697 232
694 695 281
695 496 186
695 694 281
695 698 186
696 697 168
696 586 191
696 1179 31
697 694 232
697 696 168
697 792 67
698 791 281
698 1338 49
698 695 186
699 539 30
699 700 148
699 1292 48
700 1483 50
700 1381 52
700 473 90
701 536 63
701 530 137
701 537 42
702 639 79
702 826 62
703 532 32
704 331 6
704 330 75
704 705 141
705 331 5
705 332 87
706 707 82
707 709 35
707 706 82
707 313 200
708 709 67
709 711 69
709 707 35
709 708 67
710 711 80
711 709 69
711 710 80
711 327 92
712 324 72
712 325 68
713 714 162
713 304 120
713 1282 207
714 877 22
714 713 162
715 1395 6
715 1120 76
715 716 247
716 715 247
716 479 348
716 874 30
717 722 41
717 718 239
718 717 239
718 1395 108
718 1396 23
719 723 86
719 474 48
719 720 13
720 721 240
720 719 13
720 724 23
721 1396 68
721 720 240
722 724 27
722 1168 16
723 719 86
724 720 23
724 1168 17
725 960 49
726 1427 10
726 1426 31
727 1428 50
727 918 11
728 1327 176
728 1161 43
729 349 51
729 731 33
730 729 86
730 381 33
730 347 51
731 591 55
731 729 33
732 349 23
733 591 78
734 355 80
734 733 48
734 1150 27
735 339 173
735 564 64
736 737 78
736 622 264
736 1161 92
737 736 78
737 1569 92
737 1568 77
738 739 15
739 738 15
739 24 215
740 943 12
740 610 234
741 798 184
741 1341 13
742 743 60
742 405 93
742 456 122
743 1378 27
743 742 60
743 851 22
744 775 137
744 843 222
744 842 60
745 848 23
745 749 70
746 745 62
746 845 127
747 390 62
748 855 9
748 1535 73
748 847 75
749 1630 47
750 747 45
750 749 81
750 849 73
751 752 98
751 1426 66
751 1118 139
752 751 98
753 396 126
753 611 229
754 1376 273
754 396 22
754 1406 346
755 1493 13
755 1372 252
756 757 135
756 421 44
757 1175 70
758 1355 3
758 1350 59
758 39 143
759 772 181
759 125 19
760 286 123
761 1286 204
761 1219 342
761 1287 172
761 1208 223
762 1212 40
762 1245 101
763 765 43
763 1287 163
764 763 25
764 765 41
765 768 9
766 767 28
766 566 33
767 566 36
767 1288 242
768 769 48
768 1385 63
769 770 29
770 941 43
771 129 75
772 759 181
772 1195 49
773 328 488
773 1447 325
774 1103 31
774 549 39
775 744 137
775 746 114
775 1633 104
775 843 97
776 162 39
776 189 42
776 18 43
777 953 87
777 1082 30
777 205 35
778 41 194
778 1214 111
779 17 149
779 1451 195
780 1394 126
780 779 125
781 1177 83
781 780 36
782 1032 193
782 1451 103
783 507 305
783 574 202
783 1358 114
784 785 161
784 1280 136
784 787 109
785 786 79
785 784 161
785 581 115
786 785 79
787 784 109
788 115 26
788 789 68
788 116 27
789 1079 6
789 788 68
789 1056 65
790 280 74
790 282 86
791 698 281
792 697 67
793 281 52
794 798 463
794 587 139
794 795 206
795 794 206
796 1178 40
796 198 151
796 797 75
797 796 75
797 797 56
798 1144 99
798 794 463
799 800 53
799 1634 53
799 801 187
800 799 53
800 908 72
800 1373 36
801 802 170
801 799 187
801 909 163
802 801 170
802 399 247
803 133 75
803 132 364
804 805 71
804 377 29
805 804 71
806 604 89
806 598 14
807 598 31
807 602 14
808 602 94
809 1242 25
809 1561 22
810 436 67
810 438 84
811 812 56
811 91 11
812 81 65
813 885 113
813 95 74
814 815 68
814 885 33
814 1264 100
815 67 95
815 1248 47
816 630 94
817 818 236
817 1260 25
817 1295 109
818 1487 32
818 834 34
819 770 10
820 365 8
820 822 45
820 16 46
821 822 10
822 1130 143
823 494 74
824 825 86
824 370 65
825 826 54
825 824 86
826 827 29
826 825 54
826 647 39
827 826 29
827 644 39
827 367 87
828 1450 47
828 372 87
829 824 39
829 1450 87
830 1314 158
830 643 69
831 312 219
832 1584 18
832 476 31
833 1262 61
833 1261 50
834 1308 22
834 1261 156
834 1295 24
835 1360 143
836 1259 149
837 1259 47
837 1307 151
837 1260 55
838 668 138
839 840 14
839 845 34
840 839 14
840 841 155
840 1532 64
841 843 11
841 616 87
841 840 155
842 1565 38
842 744 60
843 744 222
843 775 97
843 841 11
844 1631 106
845 846 32
845 839 34
846 847 45
846 848 76
847 748 75
847 849 80
848 849 51
848 846 76
849 847 80
849 750 73
850 678 66
851 743 22
852 672 24
852 1153 29
853 680 24
853 1640 102
854 678 34
855 748 9
855 1492 158
856 360 50
857 858 84
857 859 76
857 864 80
858 865 88
858 617 82
858 1632 86
859 857 76
859 561 83
860 863 27
860 861 100
860 562 60
861 862 13
862 863 78
862 1109 33
863 860 27
863 617 91
864 857 80
864 561 81
864 617 81
865 858 88
865 863 81
866 867 10
866 612 118
867 868 8
868 614 104
868 869 10
869 565 9
869 1456 75
870 1100 40
870 871 57
871 870 57
872 1586 7
872 1099 86
872 619 63
873 1302 35
873 875 95
873 874 117
874 873 117
874 344 200
874 716 30
875 873 95
876 877 26
877 714 22
877 876 26
878 879 7
879 307 129
879 880 13
880 881 4
881 882 9
881 1268 84
882 883 4
882 305 37
883 1330 57
883 878 9
884 1095 56
884 323 34
885 1248 79
885 814 33
885 77 137
885 1481 96
886 892 12
886 887 101
886 117 40
887 891 13
887 118 39
888 1113 32
888 889 28
889 888 28
890 888 93
890 1112 31
891 887 13
891 111 33
891 892 101
892 886 12
892 1417 33
893 259 9
893 1506 9
894 1348 55
894 36 116
895 113 24
895 1347 47
896 1409 22
896 1546 24
896 1205 31
896 1204 32
897 1202 15
897 35 104
898 105 28
899 900 40
899 901 34
900 899 54
900 1436 20
901 1122 57
901 899 34
902 903 14
903 904 19
904 905 9
905 906 6
906 902 21
906 1209 27
907 407 63
907 823 115
908 800 72
909 801 163
910 933 137
910 911 89
911 910 89
911 912 38
912 913 96
912 1379 78
913 910 38
913 912 96
914 915 33
914 621 16
915 600 219
916 917 72
916 599 58
917 916 72
917 911 187
918 919 10
919 1406 25
919 1454 13
920 607 110
920 1320 70
921 922 81
922 926 29
922 921 81
922 927 27
923 395 155
924 606 99
924 400 154
924 1537 51
925 926 191
925 929 71
925 608 28
926 922 29
926 929 125
926 925 191
927 1643 19
927 929 178
927 922 27
928 1573 230
929 926 125
929 927 178
929 925 71
930 127 156
931 1444 14
931 402 410
931 546 270
932 1325 42
932 1402 204
932 480 29
933 627 42
933 1380 58
934 514 68
934 1388 216
935 1579 62
936 470 124
936 469 28
937 471 49
937 1510 252
938 360 58
938 361 119
939 353 60
940 939 30
940 354 17
941 1620 127
941 1305 32
942 1251 14
942 1250 103
943 1049 45
943 391 30
944 1148 25
944 1463 66
945 956 91
945 141 73
946 446 62
946 1318 203
947 27 10
947 188 41
948 1338 38
948 582 27
949 583 127
950 1011 57
950 1618 37
951 236 40
951 240 38
952 777 21
952 429 103
953 777 87
953 244 49
953 428 31
954 951 8
955 246 48
956 433 89
957 1578 58
958 959 69
958 580 144
958 1284 95
959 958 69
960 1165 77
960 725 49
961 33 75
961 964 52
961 22 67
962 31 4
962 1075 56
962 30 59
963 1285 131
963 23 31
963 33 131
964 961 52
964 23 117
965 209 36
966 144 135
966 206 49
966 145 36
967 968 26
968 211 28
968 967 77
969 1337 53
970 969 23
971 972 225
971 467 273
971 468 34
972 971 225
973 388 182
973 930 253
974 803 194
974 133 33
975 1078 18
975 977 92
